AVG,OBP,SLG,OPS,BB%,K%,ISO,LD%,Pull%,EV,LA,Barrel%,HardHit%,maxEV,Contact%,HR,R,RBI
0.293,0.401098901,0.498905908,0.900004809,0.146520146,0.217948717,0.205689278,0.24852071,0.37426901,91.81593101,9.148917812,0.15204678,0.46783626,115.739,0.68762089,21,84,72
0.293,0.330855018,0.477227722,0.80808274,0.046382189,0.187384044,0.184158416,0.222222222,0.35784314,90.94480972,7.572598982,0.1004902,0.48529412,113.926,0.77961165,18,76,57
0.293,0.358064516,0.533213644,0.89127816,0.083870967,0.116129032,0.240574506,0.204498977,0.47852761,88.70125192,21.71182801,0.08179959,0.38854806,111.425,0.82253771,30,73,103
0.292,0.346534653,0.467811158,0.814345811,0.051485148,0.192079207,0.175965665,0.220708446,0.42547425,86.81693844,7.505962486,0.06775068,0.33875339,113.258,0.78141499,16,76,63
0.291,0.366101694,0.46743295,0.833534644,0.10338983,0.205084745,0.176245211,0.197530864,0.40987654,89.88746142,11.60049552,0.11358025,0.44691358,114.569,0.79683131,22,70,64
0.291,0.367692307,0.444833625,0.812525932,0.07076923,0.163076923,0.154115587,0.229299363,0.38004246,88.50333278,11.02889794,0.06794055,0.38853503,111.086,0.82641196,18,85,73
0.291,0.359583952,0.518272425,0.877856377,0.087407407,0.185185185,0.227574751,0.199152542,0.43568465,89.38609937,14.80088242,0.08074534,0.39130435,109.662,0.81732419,30,91,59
0.290,0.348056537,0.435797665,0.783854202,0.068783068,0.137566137,0.145914397,0.191780821,0.34240363,87.21031931,5.76197465,0.05895692,0.37414966,113.091,0.84,14,76,58
0.290,0.332855093,0.469325153,0.802180246,0.058823529,0.222381635,0.179447853,0.204408817,0.29258517,91.86459388,8.533244639,0.09619238,0.50300601,112.397,0.79674221,24,91,93
0.289,0.367213114,0.457407407,0.824620521,0.103109656,0.206219312,0.168518519,0.161057692,0.34292566,91.33863671,4.663324462,0.09352518,0.48441247,113.935,0.74233716,17,86,78
0.289,0.337931034,0.445065176,0.78299621,0.058620689,0.139655172,0.156424581,0.185589519,0.36462882,88.9703125,3.929930839,0.06550218,0.40611354,112.275,0.83088235,15,71,72
