AVG,OBP,SLG,OPS,R,HR,RBI,O-S%,Z-S%,S%,O-C%,Z-C%,C%,BB%,K%,ISO,BABIP,EV,LA,Barrel%,maxEV,HardHit%,xBA,xSLG,xwOBA
0.237,0.289,0.357,0.646,57,11,61,0.272,0.653,0.466,0.573,0.863,0.779,0.067,0.191,0.120,0.273,87.84955976353609,17.04409806358623,0.045,109.243,0.334,0.224,0.337,0.272
0.293,0.331,0.477,0.808,76,18,57,0.388,0.660,0.528,0.632,0.858,0.777,0.046,0.187,0.184,0.334,90.94480971534654,7.572598982445988,0.100,113.926,0.485,0.304,0.49,0.357
0.233,0.313,0.446,0.758,88,31,94,0.239,0.660,0.462,0.546,0.851,0.777,0.098,0.250,0.213,0.269,91.77054794520548,17.137191424086758,0.141,112.717,0.505,0.251,0.484,0.349
0.266,0.312,0.421,0.733,67,14,67,0.303,0.675,0.491,0.592,0.858,0.776,0.063,0.211,0.155,0.318,90.06195037688443,10.168124558338567,0.072,112.164,0.424,0.27,0.407,0.319
0.258,0.319,0.462,0.782,75,30,91,0.281,0.683,0.493,0.567,0.850,0.774,0.083,0.181,0.204,0.268,90.979,14.994706764308086,0.105,114.549,0.459,0.258,0.461,0.335
0.230,0.312,0.399,0.711,60,18,65,0.262,0.625,0.436,0.583,0.860,0.773,0.102,0.226,0.169,0.272,90.41341827552355,10.593845119724026,0.096,114.165,0.459,0.253,0.421,0.33
0.264,0.321,0.420,0.741,66,17,65,0.250,0.658,0.462,0.578,0.839,0.771,0.073,0.191,0.156,0.301,88.21889167746114,5.441651645846722,0.069,109.386,0.409,0.247,0.398,0.307
0.327,0.390,0.623,1.013,88,33,96,0.294,0.808,0.551,0.432,0.894,0.771,0.091,0.164,0.296,0.340,93.27183544303797,13.046287826344937,0.152,114.441,0.532,0.314,0.612,0.412
0.251,0.314,0.399,0.712,76,15,62,0.398,0.680,0.538,0.633,0.851,0.770,0.052,0.182,0.147,0.289,84.83556932471264,13.111864673132184,0.055,108.790,0.270,0.245,0.367,0.297
0.247,0.325,0.419,0.744,52,22,74,0.279,0.691,0.476,0.564,0.860,0.770,0.102,0.217,0.172,0.287,90.06261614456918,9.285961854805066,0.100,113.977,0.426,0.263,0.457,0.345
0.248,0.360,0.431,0.791,86,21,84,0.232,0.641,0.443,0.539,0.847,0.769,0.143,0.221,0.183,0.299,89.88091388081395,12.968930550508722,0.090,112.622,0.390,0.254,0.427,0.35
0.245,0.286,0.296,0.582,52,1,25,0.355,0.695,0.533,0.572,0.858,0.767,0.050,0.233,0.051,0.323,87.80617334509408,2.034339822748656,0.029,109.576,0.391,0.252,0.335,0.279
0.217,0.318,0.504,0.821,92,46,118,0.262,0.623,0.437,0.555,0.858,0.764,0.099,0.229,0.287,0.205,89.45948077494062,18.152103668720308,0.147,115.745,0.399,0.246,0.527,0.368
0.271,0.351,0.500,0.851,90,33,100,0.322,0.750,0.524,0.670,0.803,0.760,0.095,0.192,0.229,0.292,93.11866414835166,12.44827652815934,0.127,115.043,0.547,0.282,0.539,0.38
0.278,0.370,0.447,0.818,106,19,76,0.251,0.670,0.450,0.533,0.852,0.758,0.123,0.222,0.169,0.342,91.71543589547677,3.482500071630501,0.092,113.477,0.499,0.284,0.46,0.362
0.252,0.310,0.452,0.762,70,20,63,0.312,0.686,0.504,0.575,0.835,0.757,0.065,0.256,0.200,0.307,89.76824010854342,16.58368073792017,0.112,110.590,0.427,0.254,0.462,0.334
